     u      w
2.5132 2.6927
-14.8431 5.3366
-1.0488 -10.8731
3.5872 -9.3985
2.4832 5.9766
18.2831 7.2912
14.4002 3.5251
7.5242 22.6888
6.7339 6.1335
2.5056 -13.4550
5.4051 10.1769
6.8131 12.6356
23.5004 15.7073
9.9920 0.4450
-5.9773 -11.4587
-4.1614 -2.0984
-0.5560 -8.9931
-11.3315 -0.1308
11.3282 7.2795
22.6245 8.7764
0.7365 -11.9530
1.0555 -2.2858
-1.3721 3.4184
2.8891 -2.7749
-7.6772 0.8416
7.9249 5.9200
4.3557 11.9804
-6.7674 -6.0530
-7.0039 24.9820
15.2628 22.7326
11.4745 -0.8453
1.0909 2.5393
-3.6156 -4.8676
-10.1959 -3.5677
-4.4678 -2.2933
5.4151 7.6789
5.2778 1.3156
-6.6257 -6.9399
-0.2006 -0.7280
-1.2710 5.5812
6.5177 16.9813
15.2490 24.9337
11.6733 8.1406
3.2995 16.6752
1.1592 -12.6034
-12.9123 -10.2493
1.7800 1.6231
1.4912 -17.0132
-10.5381 -15.0648
-25.6350 -7.4359
-5.9901 -9.8606
-14.4656 -11.3843
-7.1646 -0.2818
-4.4316 -15.8547
5.7939 -6.3441
5.6164 7.9501
-4.0914 7.2777
5.2493 14.4352
20.5589 7.7526
8.1047 -4.5221
2.0483 5.8506
0.2325 9.8019
2.0290 -8.2333
7.6795 10.7743
-1.4664 12.8038
2.3391 3.0752
-8.8558 -20.7131
-16.3994 -12.0144
-0.6483 -14.4212
-14.4820 -2.0228
0.9054 -11.4779
4.5554 -7.3116
-16.5427 -12.6926
-16.5902 -4.5775
-4.5652 -0.7713
1.9927 0.0070
-1.7624 -1.4383
-13.4032 -12.7707
-9.8323 -0.1063
15.7158 7.8574
-9.2431 -6.9983
1.6651 -0.7748
11.6745 6.5141
8.3512 1.9663
8.1784 3.6517
-6.1879 -0.6560
-7.9968 0.4749
8.4624 6.5904
13.1673 22.9794
4.7039 -8.9458
-0.3361 -3.2368
-18.6784 -9.2545
-13.6165 2.4740
3.6295 -12.0358
1.8010 -1.1838
4.1259 -0.3205
4.9155 6.9215
13.8229 12.7979
20.0266 7.4946
13.3848 13.7560
-5.4981 -1.3780
-0.3518 -0.3488
4.6163 -0.8881
2.4913 19.1591
20.9003 13.1893
20.8743 27.6000
20.1659 28.0277
16.9655 30.9813
3.0904 -3.4731
-10.2203 -11.1619
-6.2188 -10.8085
6.4898 -12.6937
-10.1163 -1.6668
-2.4080 -8.6152
-8.1237 -1.5183
0.1120 -1.0676
7.8064 8.2787
3.0546 6.8294
-4.0976 -4.4254
13.4417 12.6070
25.3177 29.6265
20.7494 12.8562
7.1645 -12.2331
-2.9532 -4.9764
11.1943 -3.6323
2.8227 5.0398
9.1370 11.0758
5.3435 -1.9624
5.4637 -0.9999
7.7489 1.5219
-2.8090 -6.2280
6.8182 2.7654
12.5370 19.2010
7.5091 6.3567
5.8801 -2.8484
11.1131 13.5503
14.5813 13.8059
1.9309 1.4299
1.9939 4.7042
10.5738 13.4459
8.6821 -9.3767
-4.4494 -5.5533
9.9285 3.7496
10.1756 3.5214
-15.3256 -3.9729
-27.7439 1.4014
-6.3381 -15.3183
-23.5775 3.8069
-4.9021 -12.8750
0.4405 -10.3367
-5.8176 3.8141
-4.2521 6.7192
-6.2076 -5.5348
-1.4369 5.1213
-6.9682 -3.2124
15.3377 -6.0411
3.1733 16.3019
13.0601 3.3469
10.4316 19.2525
21.8337 18.3253
19.1555 12.0714
-3.2891 -2.1972
15.3131 8.8186
-13.8265 -15.9384
-22.6704 2.3777
-7.0492 -14.3497
-17.6794 -25.0370
-20.6071 -11.5319
1.1062 -12.1845
-16.9956 -5.1751
-12.1300 7.0979
-0.8309 -6.3438
-11.6694 -5.2735
-18.3489 -11.6116
-7.3658 -16.5301
-21.7010 -13.4659
-21.3500 -18.5042
-14.0117 -13.0113
-3.2168 -16.7911
-7.8708 8.0354
8.4216 -8.4584
-14.4143 -13.3871
-11.1699 -10.7109
-6.5452 -12.2445
-16.1777 -20.1531
-7.2034 -5.2546
-9.8246 -4.8164
2.8496 5.7555
11.4345 9.4518
-6.5636 -10.1173
2.6201 5.0962
-7.3187 -1.2654
-4.3733 3.5631
14.7232 12.5865
14.0517 2.5302
14.3245 19.3618
13.9720 -6.2660
9.3148 -2.7237
-7.8213 -10.6089
-9.2137 -12.3471
-18.0137 -23.2085
-22.8202 5.9682
-13.4986 -2.0478
-0.8671 -12.6803
-22.1584 -13.6421
-6.8619 -22.9464
-15.9191 -6.2860
-14.4306 -19.0127
2.8003 -0.5439
4.1583 0.2328
-2.2190 5.2245
7.8474 -1.4092
-5.2943 -5.2548
0.4673 15.9404
11.1499 1.0177
-11.1134 -0.4324
-3.3841 -14.6243
0.9438 -16.2798
8.3712 17.4313
17.7645 14.3854
26.1093 17.1989
4.6898 0.1564
18.6574 5.2254
-2.0498 14.4803
-5.8160 -10.6606
-3.5323 4.5129
-1.1510 12.4726
-1.5773 0.1380
0.4185 10.1279
-0.6000 -13.4968
-19.2116 -25.4358
-16.5887 -22.3567
-16.1920 -30.3041
-19.6373 -11.4369
-14.8230 -8.3680
-6.9954 -4.0064
-5.7200 -3.5548
1.6835 -6.4646
-16.6423 -25.5463
-19.0250 -24.1202
-10.9459 -17.4674
-10.1506 -14.4396
-22.9493 -38.4408
-25.1918 -23.2301
-23.8731 0.1912
4.9211 3.0311
-2.9058 -6.6000
-7.8475 -5.0193
-6.8495 -16.3505
-23.6349 -24.6976
-27.1476 -35.1725
-21.6146 -16.4779
-16.2884 -17.2625
-16.4377 -16.1593
-17.6838 -4.5128
-6.9200 7.4951
2.1526 2.0172
9.6586 7.6844
-0.0351 19.0450
15.5287 14.1329
19.4275 37.7827
15.5877 20.8163
10.7933 7.6211
4.3502 6.5178
16.8881 15.0942
12.3076 8.6662
0.2929 -8.1559
-3.1523 -1.7203
-4.4921 22.4554
-1.1051 2.2359
24.9783 23.7374
24.5889 16.5726
14.5399 5.1830
6.5078 0.3636
7.2264 2.0606
-4.6256 6.5735
9.7985 22.1180
12.8945 6.0238
4.2676 5.3884
17.0986 29.6812
22.0601 5.5018
-0.3710 1.3920
10.4815 8.0533
5.2685 9.8222
6.7178 7.7781
11.2944 19.7928
13.4808 17.1143
10.1289 1.0897
-18.0243 3.7204
14.7031 17.2065
7.3701 -1.0207
6.6256 14.5094
27.0586 9.3017
22.2121 0.3936
7.6393 7.7555
-1.7682 1.1596
7.5054 7.3165
2.3530 4.8742
4.5292 2.6146
1.7704 2.5883
-2.4493 1.7245
0.0064 -4.2231
3.2989 1.4307
2.1344 0.7525
-2.8442 -0.8126
1.7756 -0.9267
-5.6836 -2.4782
-0.1681 0.2749
-0.4310 -5.1069
-2.4621 0.4641
-0.3296 -1.3459
2.1484 1.0948
4.1595 1.6099
-2.9080 -7.6243
-2.4835 0.3884
2.1021 3.0536
8.6988 1.5821
2.9024 0.0159
5.6341 2.3914
2.5575 3.4413
-2.7297 -6.6560
-5.2939 3.6819
-3.1375 -5.0207
-0.4946 1.1821
2.6343 2.7158
0.7133 5.5588
4.3050 -0.3426
2.6461 -3.8385
0.6826 1.1691
0.2071 -0.6659
4.8466 -0.2988
-0.4129 3.9146
-3.8683 1.1796
-4.3236 -0.5278
1.8472 -5.2558
-2.1814 0.4778
4.6686 2.0520
-1.2972 0.5354
-5.0592 -4.0986
3.5485 -1.1315
-3.6739 -3.1525
-8.3813 -5.3382
-0.4039 -0.2653
2.0278 -2.7008
0.7434 6.5172
-1.1517 -5.2237
-6.3006 -5.7499
2.4311 3.7075
-1.9807 0.9118
1.2612 -6.8137
3.6687 -3.4817
-3.3420 8.7825
2.3055 6.1802
1.3136 3.2081
-1.3570 3.8925
-1.2753 4.3286
-0.1759 -3.3476
-2.4960 -8.4660
-1.1639 -3.0654
5.3545 -1.8893
2.0696 5.1287
-0.0924 6.7902
4.1186 -0.6228
2.2454 0.4298
-8.8341 1.2585
-0.5313 1.4402
-0.0400 -4.3545
-2.9882 -8.5188
-1.4998 -2.6370
2.1659 2.9562
4.6614 0.5056
2.1613 4.5253
-4.4118 5.0236
-2.6060 -6.9672
-6.6654 -0.2645
8.5954 4.4062
1.0046 -3.3811
-4.1587 -3.2735
1.8977 -3.3090
-1.8209 -3.8900
0.8700 5.1378
1.7366 0.4345
-0.2017 -2.0330
4.0421 4.1235
6.1243 -2.6305
6.6268 10.9271
5.7185 7.4080
-0.2926 -0.6513
-1.7880 -3.0023
3.8968 -6.4754
-4.2219 1.1897
1.6772 5.1973
-8.8990 -7.6941
0.8053 -2.3815
-9.9842 -3.7670
-5.1567 6.3888
7.8275 -5.6064
1.1754 -0.2325
-0.6870 -0.4066
-4.3772 2.6668
-8.3466 -1.2142
-9.9151 -2.4666
-3.7892 3.4109
-2.5327 -1.2780
-4.6555 -6.3619
-1.9582 2.9187
5.2705 -0.4656
-4.3690 -8.4919
-2.5747 -2.4759
-2.8995 -3.7577
-1.2209 -3.7648
-7.9466 2.1002
-5.0855 -3.8227
-2.8453 4.4560
3.0588 4.7851
1.1334 0.1417
-8.5487 -2.4842
-0.9855 -5.3843
0.3285 2.2899
0.9759 2.5837
4.2394 -1.9394
-7.4884 0.6239
4.1389 -4.4804
-2.5442 -0.5963
2.0704 7.6951
1.2077 1.4379
-4.1891 -3.3465
-0.8945 -2.9799
2.2940 3.0046
8.4262 9.1655
1.0030 -0.2107
-4.3687 -0.0294
-6.7646 6.5200
1.4939 -2.2471
3.9178 0.0048
-0.5551 -3.7768
4.0064 -2.9185
4.3901 2.8511
-1.3613 -4.1623
1.4541 1.5892
-1.6484 1.2432
0.4798 -1.1129
0.8994 3.1192
5.3031 -1.8944
-3.1608 -1.1136
-10.0070 1.1153
1.3965 -1.2995
-0.7530 -5.5421
-4.8722 -1.8191
-6.0230 2.7722
-0.2448 -2.8603
-2.6450 -1.0312
-3.0800 -6.1054
-8.3077 -3.3442
-8.3773 -1.3500
1.8836 -6.0900
